f,S_real,S_ER,S_configuracion
0.9209039548022598,0.011638418079096042,0.010847457627118645,0.011073446327683615
0.9265536723163842,0.011016949152542371,0.0103954802259887,0.010282485875706215
0.9322033898305084,0.010282485875706213,0.010056497175141243,0.009717514124293785
0.9378531073446328,0.0096045197740113,0.009265536723163843,0.009491525423728813
0.943502824858757,0.009265536723163841,0.008813559322033898,0.009265536723163841
0.9491525423728814,0.008644067796610169,0.008022598870056496,0.007909604519774011
0.9548022598870056,0.008022598870056496,0.0075706214689265534,0.0075706214689265534
0.96045197740113,0.007514124293785309,0.00711864406779661,0.00711864406779661
0.9661016949152542,0.00694915254237288,0.0068926553672316385,0.006779661016949152
0.9717514124293786,0.006666666666666665,0.00655367231638418,0.006327683615819209
0.9774011299435028,0.006271186440677965,0.0061016949152542365,0.005875706214689264
0.9830508474576272,0.005875706214689264,0.00576271186440678,0.005649717514124293
0.9887005649717514,0.005762711864406777,0.005649717514124293,0.005649717514124293
0.9943502824858758,0.005649717514124293,0.005649717514124293,0.005649717514124293
1.0,0.0,0.0,0.0
