origen,destino,campus_origen,campus_destino,capa_origen,capa_destino
CP-ODONTOLOGIA-D4,ODO-1A-A51,Campus Paraiso,Campus Paraiso,agregacion,acceso
CPAR-C10,CP-ODONTOLOGIA-D4,Campus Paraiso,Campus Paraiso,core,agregacion
CP-POSGRADO-D2,POS-0A-A131,Campus Paraiso,Campus Paraiso,agregacion,acceso
CP-POSGRADO-D2,POS-0A-A31,Campus Paraiso,Campus Paraiso,agregacion,acceso
CP-POSGRADO-D2,POS-1B-A32,Campus Paraiso,Campus Paraiso,agregacion,acceso
POS-2C-A33,POS-2C-A133,Campus Paraiso,Campus Paraiso,acceso,acceso
CP-POSGRADO-D2,POS-2C-A33,Campus Paraiso,Campus Paraiso,agregacion,acceso
CP-POSGRADO-D2,POSLAB-0D-A34,Campus Paraiso,Campus Paraiso,agregacion,acceso
CPAR-C10,CP-POSGRADO-D2,Campus Paraiso,Campus Paraiso,core,agregacion
CP-TECMEDICO-D3,TECMED-0B-A42,Campus Paraiso,Campus Paraiso,agregacion,acceso
TECMED-1A-A41,TECMED-1A-A141,Campus Paraiso,Campus Paraiso,acceso,acceso
CP-TECMEDICO-D3,TECMED-1A-A41,Campus Paraiso,Campus Paraiso,agregacion,acceso
CP-TECMEDICO-D3,TECMED-2C-A43,Campus Paraiso,Campus Paraiso,agregacion,acceso
CP-TECMEDICO-D3,TECMED-3D-A44,Campus Paraiso,Campus Paraiso,agregacion,acceso
CPAR-C10,CP-TECMEDICO-D3,Campus Paraiso,Campus Paraiso,core,agregacion
ROUTER-CAMPUS-HUAYNA-CAPAC,CPAR-C10,Campus Paraiso,Campus Paraiso,wan,core
CC-ADM-D40,TEAT-0A-A75,Campus Central,Campus Central,agregacion,acceso
AETUC-0A-A76,CC-AETUC-D30,Campus Central,Campus Central,acceso,agregacion
